PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Dewayne Dedmon,0.0,0.068,0.023,0.523,0.523,0.091,0.0
Robert Sacre,0.0,0.229,0.057,0.229,0.257,0.057,0.0
Tayshaun Prince,0.069,0.483,0.138,0.103,0.172,0.034,0.098
Omer Asik,0.025,0.0,0.0,0.6,0.625,0.05,0.0
Kirk Hinrich,0.167,0.3,0.367,0.0,0.0,0.0,0.481
Luc Mbah a Moute,0.097,0.226,0.032,0.258,0.29,0.032,0.193
Chris Johnson,0.138,0.379,0.138,0.069,0.103,0.0,0.508
Tarik Black,0.029,0.029,0.0,0.471,0.529,0.059,0.0
Chris Andersen,0.026,0.128,0.051,0.205,0.231,0.154,0.194
Reggie Bullock,0.061,0.545,0.121,0.061,0.091,0.03,0.541
Andre Miller,0.378,0.027,0.243,0.135,0.189,0.027,0.082
Kostas Papanikolaou,0.077,0.5,0.077,0.115,0.115,0.0,0.485
Sonny Weems,0.12,0.48,0.16,0.04,0.08,0.0,0.376
Pablo Prigioni,0.16,0.32,0.36,0.0,0.0,0.0,0.646
Cristiano Felicio,0.029,0.176,0.0,0.412,0.382,0.176,0.056
Salah Mejri,0.081,0.0,0.0,0.541,0.514,0.108,0.013
Jason Thompson,0.065,0.161,0.032,0.194,0.226,0.065,0.142
Lamar Patterson,0.167,0.375,0.083,0.125,0.125,0.0,0.608
Ryan Hollins,0.029,0.059,0.029,0.529,0.5,0.059,0.0
Kendrick Perkins,0.0,0.04,0.04,0.56,0.56,0.16,0.0
Nick Collison,0.095,0.143,0.048,0.238,0.238,0.143,0.018
Sergey Karasev,0.042,0.333,0.167,0.083,0.083,0.042,0.493
